GEOID,STATEFP,COUNTYFP,TRACTCE,NAME
01101001800,01,101,001800,18
01101001900,01,101,001900,19
01101002000,01,101,002000,20
01101002100,01,101,002100,21
01001020700,01,001,020700,207
01001020200,01,001,020200,202
01001020600,01,001,020600,206
01001020100,01,001,020100,201
01001020400,01,001,020400,204
01073012304,01,073,012304,123.04
01001020804,01,001,020804,208.04
01045020500,01,045,020500,205
01045020700,01,045,020700,207
01045021400,01,045,021400,214
01073005103,01,073,005103,51.03
01073004902,01,073,004902,49.02
01073014409,01,073,014409,144.09
01073012905,01,073,012905,129.05
01073005909,01,073,005909,59.09
01001020501,01,001,020501,205.01
01001020902,01,001,020902,209.02
01001020803,01,001,020803,208.03
01001020805,01,001,020805,208.05
01001020901,01,001,020901,209.01
01001020502,01,001,020502,205.02
01001020503,01,001,020503,205.03
01073014001,01,073,014001,140.01
01073010500,01,073,010500,105
01073014404,01,073,014404,144.04
01073003200,01,073,003200,32
01073011706,01,073,011706,117.06
01073012701,01,073,012701,127.01
01073005600,01,073,005600,56
01073012602,01,073,012602,126.02
01073012104,01,073,012104,121.04
01073010803,01,073,010803,108.03
01073005000,01,073,005000,50
01073012403,01,073,012403,124.03
01073012302,01,073,012302,123.02
01073011901,01,073,011901,119.01
01073011205,01,073,011205,112.05
01073011210,01,073,011210,112.10
01073011600,01,073,011600,116
01073010100,01,073,010100,101
01089001302,01,089,001302,13.02
01089003000,01,089,003000,30
01117030610,01,117,030610,306.10
01073014410,01,073,014410,144.10
01089003100,01,089,003100,31
01023956800,01,023,956800,9568
01023956900,01,023,956900,9569
01023957000,01,023,957000,9570
01117030219,01,117,030219,302.19
01117030611,01,117,030611,306.11
01117030613,01,117,030613,306.13
01117030614,01,117,030614,306.14
01121010202,01,121,010202,102.02
01121010102,01,121,010102,101.02
01121010201,01,121,010201,102.01
01121010400,01,121,010400,104
01101001100,01,101,001100,11
01073012914,01,073,012914,129.14
01073014412,01,073,014412,144.12
01033020705,01,033,020705,207.05
01033020706,01,033,020706,207.06
01089011028,01,089,011028,110.28
01089011201,01,089,011201,112.01
01089010801,01,089,010801,108.01
01089011301,01,089,011301,113.01
01089010304,01,089,010304,103.04
01089010626,01,089,010626,106.26
01089010406,01,089,010406,104.06
01089011025,01,089,011025,110.25
01003011419,01,003,011419,114.19
01003010706,01,003,010706,107.06
01003011603,01,003,011603,116.03
01003010708,01,003,010708,107.08
01003011409,01,003,011409,114.09
01003011417,01,003,011417,114.17
01003011414,01,003,011414,114.14
01003011416,01,003,011416,114.16
01015002105,01,015,002105,21.05
01117030616,01,117,030616,306.16
01117030503,01,117,030503,305.03
01117030615,01,117,030615,306.15
01125012304,01,125,012304,123.04
01125012404,01,125,012404,124.04
01101001000,01,101,001000,10
01101001200,01,101,001200,12
01101001300,01,101,001300,13
01101001500,01,101,001500,15
01101001600,01,101,001600,16
01087232100,01,087,232100,2321
01073012910,01,073,012910,129.10
01131035100,01,131,035100,351
01131034700,01,131,034700,347
01131035200,01,131,035200,352
01089001902,01,089,001902,19.02
01089010302,01,089,010302,103.02
01089010200,01,089,010200,102
01089011021,01,089,011021,110.21
01089001801,01,089,001801,18.01
01089001901,01,089,001901,19.01
01089000403,01,089,000403,4.03
01089010502,01,089,010502,105.02
01089011400,01,089,011400,114
